"","Fitting_number","Fitting_percentage","AIC","AIC_percentage","BIC","BIC_percentage","Model"
"logistic",271,98.5454545454545,54,19.6363636363636,63,22.9090909090909,"Logistic"
"gompertz",244,88.7272727272727,103,37.4545454545455,101,36.7272727272727,"Gompertz"
"baranyi",211,76.7272727272727,71,25.8181818181818,66,24,"Baranyi"
"buchanan",115,41.8181818181818,28,10.1818181818182,26,9.45454545454546,"Buchanan"
