"","ID","order","species","stage","originaltraitname","traitvalue","unit","temp","time","location","longitude","latitude","study","traitname"
"14","MTD2064","Hemiptera","Planococcus citri","egg (female)","Development Time",4.2,"day / 1 individual",28,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"15","MTD2064","Hemiptera","Planococcus citri","egg (female)","Development Time",3.6,"day / 1 individual",30,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"16","MTD2064","Hemiptera","Planococcus citri","egg (female)","Development Time",4.3,"day / 1 individual",32,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"17","MTD2065","Hemiptera","Planococcus citri","nymph (male)","Development Time",23.83,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"18","MTD2065","Hemiptera","Planococcus citri","nymph (male)","Development Time",24.75,"day / 1 individual",20,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"19","MTD2065","Hemiptera","Planococcus citri","nymph (male)","Development Time",14.87,"day / 1 individual",23,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"20","MTD2065","Hemiptera","Planococcus citri","nymph (male)","Development Time",10.48,"day / 1 individual",25,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"21","MTD2065","Hemiptera","Planococcus citri","nymph (male)","Development Time",12.16,"day / 1 individual",28,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"22","MTD2065","Hemiptera","Planococcus citri","nymph (male)","Development Time",11.57,"day / 1 individual",30,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"23","MTD2065","Hemiptera","Planococcus citri","nymph (male)","Development Time",11.15,"day / 1 individual",32,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"24","MTD2066","Hemiptera","Planococcus citri","egg (male)","Development Time",9.5,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"25","MTD2066","Hemiptera","Planococcus citri","egg (male)","Development Time",8.25,"day / 1 individual",20,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"26","MTD2066","Hemiptera","Planococcus citri","egg (male)","Development Time",5.37,"day / 1 individual",23,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"27","MTD2066","Hemiptera","Planococcus citri","egg (male)","Development Time",3.03,"day / 1 individual",25,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"28","MTD2066","Hemiptera","Planococcus citri","egg (male)","Development Time",4.16,"day / 1 individual",28,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"29","MTD2066","Hemiptera","Planococcus citri","egg (male)","Development Time",3.95,"day / 1 individual",30,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"30","MTD2066","Hemiptera","Planococcus citri","egg (male)","Development Time",4.23,"day / 1 individual",32,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"31","MTD2067","Hemiptera","Planococcus citri","pre-pupae (male)","Development Time",9.5,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"32","MTD2067","Hemiptera","Planococcus citri","pre-pupae (male)","Development Time",9.25,"day / 1 individual",20,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"33","MTD2067","Hemiptera","Planococcus citri","pre-pupae (male)","Development Time",5.18,"day / 1 individual",23,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"34","MTD2067","Hemiptera","Planococcus citri","pre-pupae (male)","Development Time",2.85,"day / 1 individual",25,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
