"Type.of.feeding.interaction","Predator.lifestage","Location","Intercept","Slope","r.squared","F-statistic","p.value"
"insectivorous","larva / juvenile","Strait of Georgia",0.946030011005037,0.384249046154572,0.125577629410638,4.3083628793485,0.0465944025225441
"piscivorous","adult","Apalachicola Bay, Florida",6.96676095437558,0.315601167257104,0.13840835729043,13.4939818773465,0.000420131370657529
"piscivorous","adult","Atlantic Ocean",6.29080531131297,0.260141577182126,0.167648928394049,2213.9660580383,0
"piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",12.3638007966521,-0.00075571948748518,1.05682888325711e-05,0.000739788036573623,0.978378371318789
"piscivorous","adult","Eastern Mediterranean",2.84395790386421,0.652009130082474,0.621375968997542,205.142805962542,3.90742334690274e-28
"piscivorous","adult","Europe, Celtic Sea ecosystem",5.1972808252112,0.446320367632756,0.360856572626597,1179.43695879791,2.57239252512267e-205
"piscivorous","adult","French Polynesian EEZ",9.80728447063054,-0.00344440892783732,0.000137077297159918,0.257603552962265,0.611830912872527
"piscivorous","adult","Great Channel South, Gulf of Maine, New England",10.77512339479,0.275645033772453,0.236407118878563,224.458825408693,2.09079088296512e-44
"piscivorous","adult","Great South Bay, Long Island, New York",3.04781706869486,0.381984962733834,0.268430572529679,108.242657392169,8.43412441946435e-22
"piscivorous","adult","Gulf of Maine, New England",12.140634178118,0.0637787507225829,0.0036989019587081,0.293298135786887,0.589638854188319
"piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",11.3795272341053,0.107808454068971,0.0955172500566953,40.8688565638849,4.69052308103737e-10
"piscivorous","adult","Mid Atlantic",4.15309731870386,0.102300793203792,0.0484716094614918,3.71867778814919,0.0576960215780972
"piscivorous","adult","Off the Bay of Biscay",10.6433842999675,0.192985490250415,0.142626808084678,59.2217533239131,1.39971967104641e-13
"piscivorous","adult","South of Marthas Vineyard, New England",9.90592950591141,0.486799091516026,0.136288598876772,2.20911797828935,0.159367429953627
"piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England",11.7923413214185,0.108492499541345,0.0385393345397022,20.2024121275006,8.65041891346104e-06
"piscivorous","juvenile","Apalachicola Bay, Florida",7.61765814929771,0.255431068910441,0.0622128331867773,1.7911809368762,0.191944478653284
"piscivorous","juvenile","Off the Bay of Biscay",8.62335338724499,3.02617565393957e-14,0.499986237162604,2976.83611664329,0
"piscivorous","juvenile","W Greenland",1.27848314402828,0.709121551017255,0.620397726006059,31.0523872001443,2.25023100017498e-05
"piscivorous","larva / juvenile","Strait of Georgia",4.96732009411791,0.652630804441673,0.502262057547569,9.08180416316188,0.0146301686798565
"piscivorous","postlarva","Antarctic Peninsula",-2.52746573405741,0.106773528674382,0.0389698693052271,1.25705314524184,0.270820006991041
"piscivorous","postlarva/juvenile","Antarctic Peninsula",0.242446120869743,NA,0,NA,NA
"planktivorous","adult","Eastern Mediterranean",1.5578783039798,-0.188526023745904,0.00077796106926157,0.0140142017500866,0.907076397953721
"planktivorous","adult","French Polynesian EEZ",10.2425928591287,0.0631832278723198,0.0480008709870067,6.85727355759357,0.00982944116500032
"planktivorous","juvenile","Gulf of Alaska",2.61342271573401,0.168911383542265,1,NA,NA
"planktivorous","larva","Antarctic Peninsula",11.1598881317021,1.0207753817686,0.330043815585915,156.165271662108,2.07689904819025e-29
"planktivorous","larva","Catalan Sea",-2.19426552537672,0.257653872395839,0.280072857461197,170.005867925651,4.70821273070418e-33
"planktivorous","larva","Greenland",-3.83868606682441,0.258813702633504,0.0982205090743173,5.11917156349851,0.0283256454055264
"planktivorous","larva","Western North Pacific",-3.44871842565978,0.161010317505003,0.0857054685549205,20.2477216817684,1.11138645151142e-05
"planktivorous","larva / juvenile","Strait of Georgia",5.08312949598501,0.537539976546299,0.2383099678989,36.918661170477,1.55071505486171e-08
"planktivorous","postlarva/juvenile","Antarctic Peninsula",6.81310614810303,0.675479706794872,0.231238785388307,78.8080363840131,1.10590667174291e-16
"predacious","adult","Atlantic Ocean",6.89914238491718,0.20589271769404,0.168513283612109,1031.15969277666,3.52233438038436e-206
"predacious","adult","Cape Cod Bay, Gulf of Maine, New England",12.667694092929,0.0294846614061538,0.0302655879145218,0.436942554087641,0.5193323188638
"predacious","adult","Eastern Mediterranean",1.77465298135465,0.171119695188261,0.0232312986385009,5.18487447041862,0.023754605050945
"predacious","adult","French Polynesian EEZ",9.75686769613354,-0.0138206603455187,0.00181756641442428,3.62354319511697,0.0571115661405283
"predacious","adult","Great Channel South, Gulf of Maine, New England",12.5263754272109,0.357253501132582,0.197889961568321,5.42765823379468,0.0293962572369456
"predacious","adult","Gulf of Maine, New England",12.0317192583854,-5.8170431150463e-15,0.422621943704169,2.19590235078641,0.234984064200683
"predacious","adult","Jeffreys Ledge, Gulf of Maine, New England",11.7555841576777,-0.0283090245871117,0.00621738162868263,0.218969775664344,0.642726920235094
"predacious","adult","Mid Atlantic",3.76625484911866,0.358208680187524,0.657742185314355,69.1838656571366,6.67328707353885e-10
"predacious","adult","Off the Bay of Biscay",10.4197372146788,0.203506978120733,0.0873452550974306,45.0768654638197,5.46572575916828e-11
"predacious","adult","South of Marthas Vineyard, New England",10.1808028012821,0.0583894765003333,0.00265210461319652,0.0717972383433311,0.790774221951647
"predacious","adult","Stellwagen Bank, Gulf of Maine, New England",12.6221600511456,0.182768954519519,0.206194400151178,1.29877138804795,0.306072332500699
"predacious","juvenile","Gulf of Alaska",0.951822279780522,0.0397576284666678,0.240623932316181,12.9916936348212,0.000839430679453018
